Артикул;Наименование;ЦенаСоСкидкой;Цена;Скидка;ОстатокНаСкладе
0283;0283 GIPFEL Лопатка с прорезями CONGRESS 31,5х17,1х3,5 см серый цвет ручки Материал: PA66;1 520;2342;35;13
0286;0286 GIPFEL Ланч-бокс герметичный круглый с одним контейнером и складывающейся р;1 480;2113;30;60
0290;0290 GIPFEL Ланч-бокс герметичный в форме эллипса с одним контейнером и складыва;2 720;3884;30;60
0292;0292 GIPFEL Ланч-бокс герметичный в форме эллипса с двумя контейнерами и складыв;4 590;6555;30;36
0294;0294 GIPFEL Ланч-бокс герметичный в форме эллипса с тремя контейнерами и складыв;6 460;9225;30;24
0299;0299 GIPFEL Набор кулинарный  AMOUR из 7 пр. (4 формочки, венчик, кисточка кулин;4 320;6169;30;12
0301;0301 GIPFEL Форма для выпечки прямоугольная MIST 31x15x8 см с антипригарным пок;3 640;5598;35;20
0302;0302 GIPFEL Форма для выпечки круглая MIST 31x26,5x6 см с антипригарным покрытием Ксилан, ручки с си;3 400;5226;35;4
0304;0304 GIPFEL Форма для выпечки  прямоугольная 41x24.8x6.,4см, ручки пластик с ант;4 770;7340;35;1
0306;0306 GIPFEL Противень для выпечки MIST 39,7x25x2,5 см с антипригарным покры;3 640;5598;35;31
0307;0307 GIPFEL Форма для выпечки  прямоугольная 46x29x2.8см, ручки пластик с ант;4 600;7069;35;29
0310;0310 GIPFEL Форма для выпечки круглая разъемная  24x7см, ручки пластик с антипр;2 590;3984;35;7
0311;0311 GIPFEL Форма для выпечки круглая разъемная  24x7см, ручки пластик с антипр;2 760;4241;35;4
0312;0312 GIPFEL Разъемная форма для выпечки круглого пирога 12x10 см;2 030;3127;35;5
0313;0313 GIPFEL Форма для выпечки пиццы SIEMPRE 35,5х33x1,8 см с антипригарным покр;3 450;5312;35;27
0314;0314 GIPFEL Силиконовые формы для выпечки сдобы TWINKLE 6 шт на металлическом;4 390;6754;35;18
0315;0315 GIPFEL Силиконовые формы для выпечки сдобы TWINKLE  6 шт на металлическом;4 390;6754;35;6
0317;0317 GIPFEL Набор: Противень 24х18х5см, Мини формы для выпечки 10шт, Деревянная;4 280;6583;35;5
0320;0320 GIPFEL Форма для выпечки разъемная SIEMPRE 14х12см Цвет: серый, Материал: у;2 540;3913;35;5
0325;0325 GIPFEL Накладка на ручку. Материал: силикон. Цвет: оранжевый. Размер: 10,5х9х10 см;1 300;1856;30;72
0331;0331 GIPFEL Подставка под ложку. Материал: силикон. Цвет: фиолетовый. Размер: 22,5х10,5х4,5 см;1 620;2313;30;72
0337;0337 WERNER Силиконовая подставка под горячее 3 в 1. Размеры: 19.5х19.2х0.7 см;1 890;2699;30;30
0338;0338 GIPFEL Коврик кулинарный LILIUM 50х40см . Материал: силикон. Цвет бирюзовый;2 880;4113;30;72
0392;0392 GIPFEL Сковорода SUPER NOVO 20см c ручкой из нержавеющей стали, антипригарн;7 930;11324;30;12
0393;0393 GIPFEL Сковорода SUPER NOVO 24см c ручкой из нержавеющей стали, антипригарн;10 080;14394;30;12
0394;0394 GIPFEL Сковорода SUPER NOVO 26см c ручкой из нержавеющей стали, антипригарн;10 800;15422;30;12
0395;0395 GIPFEL Сковорода SUPER NOVO 28см c ручкой из нержавеющей стали, антипригарн;11 430;16322;30;12
0396;0396 GIPFEL Ковш SUPER NOVO 16х10,5см/1,7л c ручкой из нержавеющей стали, антипригарным покрытием Xy;9 620;13737;30;12
0397;0397 GIPFEL Ковш SUPER NOVO 18х12,5см/2,7л cо стеклянной крышкой, с ручкой из нержавеющей стали, ант;13 900;19863;30;12
0398;0398 GIPFEL Кастрюля SUPER NOVO 20х14см/3,6л со стеклянной крышкой, с антипригарным покрытием Xylan;15 880;22691;30;12
0399;0399 GIPFEL Кастрюля SUPER NOVO 24х19см/7,2л со стеклянной крышкой, с антипригарным покрытием Xylan;20 790;29702;30;12
0401;0401 GIPFEL Ковш VIOLETA 18х8,5см./1,8л со стеклянной крышкой, алюминий, индукционное дно, внутри ан;14 030;21591;35;7
0402;0402 GIPFEL Сковорода 20х5см. алюминий, индукционное дно, антипригарное 3-х сло;11 190;17222;35;3
0403;0403 GIPFEL Сковорода 24 см (лит аллюм) ручка бакелит, индукц дно;13 520;20792;35;2
0406;0406 GIPFEL Глубокая сковорода VIOLETA 24х6,5см./2,35л со стеклянной крышкой, литой алюминий, индукц;17 660;27175;35;2
0407;0407 GIPFEL Сковорода-гриль квадратная VIOLETA 24х5см. литой алюминий, индукционное дно, антипригарн;14 260;21934;35;2
0411;0411 GIPFEL Сковорода ARIANDE 30х8см./4,7л со стеклянной крышкой, литой алюминий;21 560;33172;35;1
0415;0415 GIPFEL Сковорода ARIANDE 28х6 см (лит аллюм) ручка бакелит, индукц дно;15 840;24362;35;4
0416;0416 GIPFEL Сковорода  20х4,5 см (алюминий  антиприг покрытие ECL) цвет розовый;6 680;10282;35;1
0418;0418 GIPFEL Сковорода    24х5 см (алюминий  антиприг покрытие ECL) цвет розовый;8 090;12438;35;4
0419;0419 GIPFEL Сковорода  24х5 см (алюминий  антиприг покрытие ECL) цвет красный;8 090;12438;35;1
0420;0420 GIPFEL Сковорода 28х5,5 см (алюминий  антиприг покрытие ECL) цвет розовый;9 980;15351;35;7
0421;0421 GIPFEL Сковорода 28х5,5 см (алюминий  антиприг покрытие ECL) цвет красный;9 980;15351;35;3
0430;0430 GIPFEL Сковорода SONRIZO 28см Материал: Кованый алюминий, индукционное дно, 3-х слойное антипри;9 180;14123;35;1
0436;0436 GIPFEL Сковорода  20х5 см (литой алюм.  антиприг покр WHITFORD Xylan);8 430;12966;35;10
0437;0437 GIPFEL Сковорода  24х5,5 см (литой алюм.  антиприг покр WHITFORD Xylan);10 420;16036;35;3
0438;0438 GIPFEL Сковорода  28х6 см (литой алюм.  антиприг покр WHITFORD Xylan);12 140;18678;35;3
0439;0439 GIPFEL Ковш ALIYSSEUM 18х9 см. со стеклянной крышкой голубой, алюми индукци;12 230;18821;35;13
0440;0440 GIPFEL Сковорода BLISS 20х4,5 см. синяя, алюминий, индукцио дно, антиприг;7 370;11338;35;16
0441;0441 GIPFEL Сковорода BLISS 24х4,8 см. синяя, алюминий, индукцио дно, антиприг;9 590;14751;35;7
0442;0442 GIPFEL Сковорода BLISS 28х5,3 см. синяя, алюминий, индукцион дно, антиприг;12 140;18678;35;9
0443;0443 GIPFEL Сковорода  BLISS 20*4.1см (лит ал. антипр 2-х слой кер.покр) оранж;7 620;11724;35;13
0444;0444 GIPFEL Сковорода  BLISS 24*5,2  (лит алюм. антипр 2-х слой кер.покр) оранж;9 980;15351;35;13
0449;0449 GIPFEL Сковорода GEMIOLA 20х5см. литой алюминий, индукционное дно, антиприг;8 600;13223;35;7
0450;0450 GIPFEL Сковорода GEMIOLA24х5,5см (лит ал. антиприг покр индукцю дно) черная;10 810;16636;35;4
RD0-451;0451RD GIPFEL Горючий гель для розжига 1 л;2 640;4056;35;2
0453;0453 GIPFEL Сковорода GEMIOLA 26х6см (лит ал. антиприг покр индукцю дно) черная;12 430;19121;35;3
0454;0454 GIPFEL Сковорода GEMIOLA 26х6см. литой алюминий, индукционное дно, антиприг;12 430;19121;35;13
0455;0455 GIPFEL Сковорода GEMIOLA 26х6см. литой алюминий, индукционное дно, антиприг;12 430;19121;35;8
0456;0456 GIPFEL Сковорода GEMIOLA 28х6см (лит ал. антиприг покр индукцю дно) черная;13 770;21177;35;3
0457;0457 GIPFEL Сковорода GEMIOLA 28х6см. литой алюминий, индукционное дно, антиприг;13 770;21177;35;18
0458;0458 GIPFEL Сковорода GEMIOLA 28х6см. литой алюминий, индукционное дно, антиприг;13 770;21177;35;16
0459;0459 GIPFEL Сковорода COMFORT 24х4,5см Материал: алюминий, индукционное дно, внутри керамическое пок;12 120;18650;35;7
0460;0460 GIPFEL Сковорода COMFORT 28х6см Материал: алюминий, индукционное дно, внутри керамическое покры;14 870;22877;35;6
0461;0461 GIPFEL Кастрюля COMFORT 20x9,1см/2.4л со стеклянной крышкой  Материал: алюминий, индукционное д;15 950;24533;35;2
0462;0462 GIPFEL Кастрюля COMFORT 24x11,5см/4.4л со стеклянной крышкой  Материал: алюминий, индукционное;21 290;32758;35;2
0463;0463 GIPFEL Ковш COMFORT 16x7,7,5см/1,3л со стеклянной крышкой  Материал: алюминий, индукционное дно;12 930;19892;35;2
0465;0465 GIPFEL Сковорода ANTEA 26см Материал: Литой алюминий, индукционное дно, 3-х слойное антипригарн;11 410;17550;35;1
0469;0469 GIPFEL Набор посуды ANTEA 7пр. Материал: Литой алюминий, индукционное дно, 3-х слойное антиприг;47 900;73685;35;10
0470;0470 GIPFEL Сковорода GROSS 26х5,0см Материал: Литой Алюминий, индукционное дно, антипригарное двухс;9 570;14723;35;21
0472;"0472 GIPFEL Сковорода  20х4,5 см (лит алюм. антипр покр ""WHITFORD мрамор"" черный";9 120;13023;30;30
0474;"0474 GIPFEL Сковорода 24*5 см (литой алюм. антипр покр ""WHITFORD мрамор"" черный";11 510;16436;30;1
0481;0481 GIPFEL Сковорода TENDRIL 28х5,3см. ручка с силиконовым покрытием, Greblon;13 890;21363;35;3
0482;0482 GIPFEL Сковорода HALCYON 24х6,0см. ручка с силиконовым покрытием, Greblon;12 160;18707;35;1
0484;0484 GIPFEL Сковорода HALCYON 28х7,0см. ручка с силиконовым покрытием, Greblon;14 860;22862;35;3
0486;0486 GIPFEL Сковорода GEMIOLA 24х5см. литой алюминий, индукционное дно, антиприг;10 810;16636;35;7
0487;0487 GIPFEL Сковорода GEMIOLA 24х5см. литой алюминий, индукционное дно, антиприг;10 810;16636;35;10
0489;0489 GIPFEL Сотейник VIRIDIS 32х8см./5,5л. со стеклянной крышкой, алюминий;23 180;35657;35;3
0491;0491 GIPFEL Сковорода блинная SHAFRAN со съемной ручкой, 25см. Материал: литой а;9 700;14923;35;2
0492;0492 GIPFEL Сковорода блинная SHAFRAN со съемной ручкой, 28см. Материал: литой а;11 200;17236;35;2
0494;0494 GIPFEL  Сковорода д/блинов 28х2,8 см (алюминий литой антиприг покрытие ECL);10 450;16079;35;1
0495;0495 GIPFEL Сотейник CHIC 24x8см/3,0л индукционное дно, цвет темно-фиолетовый Ма;22 010;33858;35;12
0497;0497 GIPFEL Кастрюля CHIC 20x10см/2,6л индукционное дно, цвет темно-фиолетовый М;23 700;33858;30;12
0498;0498 GIPFEL Кастрюля CHIC 24x11,5см/4,4л индукционное дно, цвет темно-фиолетовый;27 520;39313;30;12
0499;0499 GIPFEL Кастрюля CHIC 28x13,5см/7,0л индукционное дно, цвет темно-фиолетовый;34 150;48780;30;12
0502;0502 GIPFEL Сковорода  AVIORA 20x4см индукц. дно(алюминий с антипригарны покр.);6 660;10239;35;2
0504;0504 GIPFEL Сковорода  AVIORA 28x5см индукц.дно(алюминий с антипригарны покр.);10 610;16322;35;1
0505;0505 GIPFEL Сковорода  AMELIE  20x5см индукц.дно(алюминий с антипригарны  покр.);7 120;10953;35;7
0506;0506 GIPFEL Сковорода  AMELIE  24*5.3 индукц.дно(алюминий с антипригарны  покр.);8 980;13809;35;16
0507;0507 GIPFEL Сковорода  AMELIE  26*5.3 индукц.дно(алюминий с антипригарны  покр.);10 070;15494;35;12
0508;0508 GIPFEL Сковорода  AMELIE  28*5.3 индукц.дно(алюминий с антипригарны  покр.);11 120;17107;35;1
0509;0509 GIPFEL Кастрюля ZENITсо стекл. крышкой  22x10.8 см - 3.4 л (алюминий,;17 570;25104;30;36
0510;0510 GIPFEL Кастрюля ZENITсо стекл. крышкой  24x11.3 см - 4.3 л (алюминий,;20 210;28874;30;36
0511;0511 GIPFEL Кастрюля ZENITсо стекл. крышкой  28x12.7 см - 6.7 л (алюминий,;24 760;35371;30;40
0512;0512 GIPFEL Сковорода-гриль SANDRA 28х28х5,5см из литого алюминия, с индукционны;;21430;;24
0515-S;0515-S STAHLBERG Сковорода SFERA 20х4,5см Материал : литой алюминий, ECL керамич;11 110;17093;35;7
0516-S;0516-S STAHLBERG Сковорода SFERA 24х5,0см Материал : литой алюминий, ECL керамич;12 830;19735;35;9
0517-S;0517-S STAHLBERG Сковорода SFERA 28х5,5см Материал : литой алюминий, ECL керамич;14 290;21977;35;10
0519;0519 GIPFEL Кастрюля BAVARI 28x13,5см/ 6,0л со стеклянной крышкой Материал: алюм;21 590;30845;30;25
0524;0524 GIPFEL Сковорода MILADY 24х5,3см Материал: литой алюминий,  индукционное дн;12 930;19892;35;2
0527;0527 GIPFEL Кастрюля MILADY 24х12см/4,60л Материал: литой алюминий,  индукционно;20 870;32101;35;2
0528;0528 GIPFEL Сковорода блинная PROBA 20см из углеродистой стали с деревянной ручк;6 310;9011;30;24
0529;0529 GIPFEL Сковорода блинная PROBA 24см из углеродистой стали с деревянной ручк;6 970;9953;30;24
0530;0530 GIPFEL Сковорода блинная PROBA 26см из углеродистой стали с деревянной ручк;6 920;10653;35;4
0534;0534 GIPFEL Сковорода BAVARI 20х4,5см Материал: алюминий, индукционное дно, внут;9 420;14494;35;4
0535;0535 GIPFEL Сковорода BAVARI 24х4,8см Материал: алюминий, индукционное дно, внут;11 700;17993;35;3
0536;0536 GIPFEL Сковорода BAVARI 28х5,3см Материал: алюминий, индукционное дно, внут;14 420;22191;35;3
0540;0540 GIPFEL Ковш PASAT 16х8см/1л Материал: Литой алюминий, индукционное дно, внутри покрытие non-sti;9 950;15308;35;2
0541;0541 GIPFEL Кастрюля PASAT 20х10см/2,3л Материал: Литой алюминий с антипригарным 2-х слойным покрыти;13 220;20335;35;2
0542;0542 GIPFEL Кастрюля PASAT 24х12,5см/3,8л Материал: Литой алюминий, индукционное дно, внутри покрыти;15 430;23733;35;1
0543;0543 GIPFEL Кастрюля PASAT 28х13,5см/5,96л Материал: Литой алюминий, индукционное дно, внутри покрыт;18 920;29103;35;3
0549;0549 GIPFEL Кастрюля BAVARI 20x10см/ 2.0л со стеклянной крышкой Материал: алюмин;13 680;19535;30;28
0550;0550 GIPFEL Ковш MAYER 16х8,0см/1,17л со стеклянной крышкой Материал: Литой алюм;16 780;25818;35;6
0553;0553 GIPFEL Сковорода MAYER 28х5,5см Материал: Литой алюминий, индукционное дно,;17 080;26275;35;1
0554;0554 GIPFEL Сотейник MAYER 28х7,5см/3,0л со стеклянной крышкой Материал: Литой а;24 160;37171;35;1
0555;0555 GIPFEL Кастрюля MAYER 20х9,5см/2,2л со стеклянной крышкой Материал: Литой а;18 720;28803;35;2
0558;0558 GIPFEL Ковш VELOUR 16х8,0см/1,2л со стеклянной крышкой Материал: Литой алюм;14 210;21863;35;10
0559;0559 GIPFEL Сковорода VELOUR 20х5,0см Материал: Литой алюминий, индукционное дно;10 500;16151;35;22
0560;0560 GIPFEL Сковорода VELOUR 24х5,3см Материал: Литой алюминий, индукционное дно;12 330;18964;35;19
0561;0561 GIPFEL Сковорода VELOUR 28х5,5см Материал: Литой алюминий, индукционное дно;14 870;22877;35;21
0562;0562 GIPFEL Кастрюля VELOUR 20х9,5см/2,3л со стеклянной крышкой Материал: Литой;16 550;25461;35;8
0563;0563 GIPFEL Кастрюля VELOUR 24х11,5см/4,0л со стеклянной крышкой Материал: Литой;20 270;31187;35;4
0565;0565 GIPFEL Сковорода OLIVER 20х5,0см Материал: Литой алюминий, индукционное дно;9 830;14037;30;30
0566;0566 GIPFEL Сковорода OLIVER 24х5,5см Материал: Литой алюминий, индукционное дно;12 490;17836;30;30
0567;0567 GIPFEL Сковорода OLIVER 26х6,0см Материал: Литой алюминий, индукционное дно;14 130;20192;30;31
0568;0568 GIPFEL Сковорода OLIVER 28х6,0см Материал: Литой алюминий, индукционное дно;15 710;22448;30;30
0570;0570 GIPFEL Сковорода-гриль OLIVER 30х6,5см Материал: Литой алюминий, индукционн;17 530;25047;30;30
0572;0572 GIPFEL Кастрюля OLIVER 24х11,5см/4,30л со стеклянной крышкой Материал: Лито;22 500;32144;30;28
0573;0573 GIPFEL Кастрюля OLIVER 28х12,5см/6,49л со стеклянной крышкой Материал: Лито;25 340;38984;35;24
0574;0574 GIPFEL Сотейник OLIVER 28х8,0см/4,10л со стеклянной крышкой Материал: Литой;25 140;35914;30;24
0575;0575 GIPFEL Ковш OLIVER 16х8,5см/1,46л со стеклянной крышкой Материал: Литой алю;12 700;19535;35;3
0576;0576 GIPFEL Сковорода SANDRA 20х5,0см. Материал: Литой алюминий, индукционное дн;8 750;13466;35;11
0577;0577 GIPFEL Сковорода SANDRA 24х5,5см. Материал: Литой алюминий, индукционное дно, внутри 3-слойное;11 170;17179;35;3
0579;0579 GIPFEL Сковорода SANDRA 28х6,0см. Материал: Литой алюминий, индукционное дн;14 110;21706;35;1
0580;0580 GIPFEL Сковорода SANDRA 30х6,5см. Материал: Литой алюминий, индукционное дн;15 580;23962;35;11
0583;0583 GIPFEL Кастрюля SANDRA 20х9,5см/2,46л стеклянная крышка с силиконовым ободк;14 290;21977;35;2
0584;0584 GIPFEL Ковш SANDRA 16х8,5см/1,46л стеклянная крышка с силиконовым ободком М;11 190;17222;35;3
0585;0585 GIPFEL Сковорода Veding 20х4,5см Материал: Литой алюминий, индукционное дно;9 360;14394;35;6
0586;0586 GIPFEL Сковорода Veding 24х5,0см Материал: Литой алюминий, индукционное дно;10 940;16836;35;1
0587;0587 GIPFEL Сковорода Veding 26х5,0см Материал: Литой алюминий, индукционное дно;12 200;18764;35;2
0588;0588 GIPFEL Сковорода Veding 28х5,5см Материал: Литой алюминий, индукционное дно;13 000;19992;35;2
0601;0601 GIPFEL Кастрюля ALMER 20х12см со стеклянной крышкой (нерж. сталь);21 860;33629;35;2
0602;0602 GIPFEL Кастрюля ALMER 24х17см со стеклянной крышкой (нерж. сталь);28 870;44411;35;4
0603;0603 GIPFEL Ковш MOZART 16х10см./1,5л стеклянная крышка с проливными отверстиям;18 800;28917;35;2
0604;0604 GIPFEL Кастрюля 20х12см./3,5л стеклянная крышка с проливными отверстиями, с;24 810;38170;35;7
0605;0605 GIPFEL Кастрюля MOZAR 24х13,5см./6л стеклянная крышка с проливными отверсти;28 560;43939;35;2
0607;0607 GIPFEL Сковорода MAINTZ 20см. Материал: нерж. сталь 18/10;6 210;8868;30;24
0608;0608 GIPFEL Сковорода MAINTZ 24см. Материал: нерж. сталь 18/10;7 850;11210;30;24
0609;0609 GIPFEL Набор сковородок OUICK-CLAC 6пр.: Сковорода  3шт 20см, 24см, 28см,;55 320;85109;35;70
0610;0610 GIPFEL Сковорода PANORAMA 20см из литого алюминия с антипригарным мраморным;18 570;26532;30;4
0611;0611 GIPFEL Сковорода PANORAMA 24см из литого алюминия с антипригарным мраморным;22 130;31616;30;4
0612;0612 GIPFEL Сковорода PANORAMA 28см из литого алюминия с антипригарным мраморным;27 080;38684;30;4
0613;0613 GIPFEL Сковорода 20х4см.антипригарное керамическое покрытие FUSI;13 390;20606;35;4
0618;0618 GIPFEL Набор посуды SOFIA 6 пр  капсульное дно, нерж. сталь (1,4 л., 2,8 л., 4,8 л.);29 800;45839;35;3
0619;0619 GIPFEL Набор посуды VALENCIA 6пр. со стеклянными крышками Материал: Нержаве;61 760;95019;35;2
0620;0620 GIPFEL Набор посуды FUTURIS 4пр. со стеклянными крышками Материал: Нержавею;43 910;67559;35;3
0622;0622 GIPFEL Чайник для кипячения воды HUGO со свистком 2,5л Материал: Нержавеющая сталь SS 304, SS 4;11 050;15779;30;24
0669;0669 GIPFEL Сковорода SHAFRAN 24х5,0см со съемной ручкой, индукционное дно. Цвет: внутри черный, сна;12 660;19478;35;1
0687;0687 GIPFEL Гусятница ECLIPSE 34.5x24.5x11 см, 7.5 л. Материал: литой алюминий. Толщина дна 5.3 мм,;17 720;25318;30;12
0692;0692 GIPFEL Ковш BERYL со стеклянной крышкой  2л, 18х10 см. Материал: литой алюм;12 910;18435;30;10
0693;0693 GIPFEL Кастрюля BERYL со стеклянной крышкой 2.8 л, 20х11 см. Материал: лито;15 410;22020;30;16
0694;0694 GIPFEL Кастрюля BERYL со стеклянной крышкой 4.1 л, 24х11 см. Материал: литой алюминий. Толщина;17 800;25433;30;16
0695;0695 GIPFEL Кастрюля BERYL со стеклянной крышкой 6 л, 28х11.8 см. Материал: лито;21 860;31230;30;16
0696;0696 GIPFEL Сковорода BERYL 20 см. Материал: литой алюминий. Толщина дна 4.5 мм,;9 090;12980;30;16
0697;0697 GIPFEL Сковорода BERYL 24 см. Материал: литой алюминий. Толщина дна 4.5 мм,;10 590;15122;30;16
0698;0698 GIPFEL Сковорода BERYL 26 см. Материал: литой алюминий. Толщина дна 4.5 мм,;12 670;18093;30;16
0699;0699 GIPFEL Сковорода BERYL 28 см. Материал: литой алюминий. Толщина дна 4.5 мм,;13 990;19978;30;16
0700;0700 GIPFEL Сковорода гриль BERYL 28 см. Материал: литой алюминий. Толщина дна 4;14 270;20392;30;32
0705;0705 GIPFEL Сковорода  VALTERY с двумя ручками и 2-х слойным антипригарным покрытием non-stick, 24х6;12 500;19235;35;3
3224;3224 GIPFEL Набор из 6 разделочных досок прямоугол светлых 25х15x1см;8 480;13052;35;1
0716;0716 GIPFEL Сковорода TERA с бакелитовой ручкой, с антипригарным покрытием класса премиум Ilag Ultim;13 190;20292;35;1
0722;0722 GIPFEL Кастрюля с крышкой TERA из литого алюминия, съемными силиконовыми ручками с антипригарны;26 170;40255;35;2
0724;0724 GIPFEL Набор посуды SHANTAL из 7 предметов: кастрюля 16х10,5см/2,1л со стек;21 810;31159;30;10
0725;0725 GIPFEL Кастрюля SHANTAL 20х18см/5,6л со стеклянной крышкой, с индукционным;9 890;14123;30;8
0726;0726 GIPFEL Кастрюля SHANTAL 22х19см/7,2л со стеклянной крышкой, с индукционным;10 930;15608;30;8
0727;0727 GIPFEL Кастрюля SHANTAL 24х20см/9,0л со стеклянной крышкой, с индукционным;11 340;16193;30;8
0728;0728 GIPFEL Пароварка SHANTAL, в комплекте кастрюля 24х11,5см/5,1л со стеклянной;13 030;18607;30;40
0730;0730 GIPFEL Кастрюля для приготовления спаржи SHANTAL 16х21см/4,2л с корзиной 14;10 650;15208;30;8
